RunSeed,Seed,packetSize,N,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.08,11.3,0,2,6000,1000,600,3.3,10000,2,6,11994,4331,6666,997,0,0,9997.6
2314927680,1,23,3.08,11.3,0,2,8000,1000,600,3.3,10000,2,6,11994,4331,6666,997,0,0,9997.6
2314927680,1,23,3.08,11.3,0,2,1000,1000,600,3.3,10000,2,9,11994,4328,6669,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,2000,1000,600,3.3,10000,2,9,11994,4331,6666,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,3000,1000,600,3.3,10000,2,9,11994,4331,6666,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,4000,1000,600,3.3,10000,2,9,11994,4331,6666,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,5000,1000,600,3.3,10000,2,9,11994,4331,6666,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,6000,1000,600,3.3,10000,2,9,11994,4331,6666,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,8000,1000,600,3.3,10000,2,9,11994,4331,6666,997,0,0,9997.34
2314927680,1,23,3.08,11.3,0,2,1000,1000,600,3.3,10000,2,14,11994,4328,6669,997,0,0,9996.43
2314927680,1,23,3.08,11.3,0,2,2000,1000,600,3.3,10000,2,14,11994,4331,6666,997,0,0,9996.43
2314927680,1,23,3.08,11.3,0,2,3000,1000,600,3.3,10000,2,14,11994,4331,6666,997,0,0,9996.43
2314927680,1,23,3.08,11.3,0,2,4000,1000,600,3.3,10000,2,14,11994,4331,6666,997,0,0,9996.43
2314927680,1,23,3.08,11.3,0,2,5000,1000,600,3.3,10000,2,14,11994,4331,6666,997,0,0,9996.43
2314927680,1,23,3.08,11.3,0,2,6000,1000,600,3.3,10000,2,14,11994,4331,6666,997,0,0,9996.43
2314927680,1,23,3.08,11.3,0,2,8000,1000,600,3.3,10000,2,14,11994,4331,6666,997,0,0,9996.43
